,Team,Player,Centrality
0,3799,9,2.6465406311048323
1,3772,8,2.430915637594298
2,3776,8,2.955391637411852
3,3766,9,2.904207573319124
4,3771,8,2.9550129541125507
5,3777,8,2.254202072986012
6,3785,9,2.3507074678191042
7,3780,9,1.9701462189663363
8,19830,6,2.4820031874719737
9,3787,8,2.1556198608595367
10,3767,7,3.953209611642521
11,3782,8,2.0463353800062647
12,3795,4,2.4818479513450495
13,3774,4,2.6412335783597003
14,3804,6,2.5431752375507415
15,3779,8,1.8613568152886786
16,3783,8,1.9388261364351624
17,3775,6,2.1672227785522713
18,3770,4,2.0088914011284795
19,3789,9,1.6406680770901643
20,3166,9,1.881772990112386
21,3185,8,2.5410079654343267
22,3157,5,2.6244235687511703
23,3187,5,3.8174582134552173
24,3161,4,3.1871924146666233
25,3159,5,3.398472224006477
26,3219,8,1.7025471874153222
27,3164,8,2.550557179501178
28,3165,3,1.6568401416246
29,3163,8,2.4909825885537793
30,3162,9,3.8793483548858347
31,3176,5,2.4784090458668135
32,3173,8,2.3369406603765035
33,3172,8,2.0807477164045878
34,3158,8,2.7656846250006244
35,3204,4,1.5203951842705843
36,3315,9,1.9317333418240277
37,3194,5,1.3766075536792952
38,3193,8,2.968867759830851
39,3197,8,2.9129790683370143
40,1609,5,3.0844135400284904
41,1631,7,2.7211181439336873
42,1625,7,3.9091698999786426
43,1646,7,1.8428211574243716
44,1610,9,2.279637297521681
45,1673,9,2.0648525403296487
46,1623,9,2.90671745904473
47,1611,5,3.2409090948753865
48,1624,9,2.5968228869980927
49,1644,4,2.2720640574154602
50,1612,8,3.4672343934622387
51,1627,8,2.317159375059269
52,1639,7,2.111758022474517
53,1633,6,2.219070922832966
54,1659,7,1.8893452898779408
55,10531,8,2.413322564318878
56,1613,5,2.2719104090784374
57,1651,9,2.3890345903840373
58,1619,9,2.1060352608180173
59,1628,6,2.273489815549909
60,2444,8,3.924109644273145
61,2446,8,2.816074061673664
62,2482,9,2.6983950772754497
63,2457,5,2.54140973878208
64,2454,9,2.8940684997763917
65,2449,9,2.4492660600552334
66,2450,6,1.4679435761402317
67,2455,8,2.256478992326212
68,2447,4,2.4211007563243814
69,2453,7,1.9518748817872857
70,2975,8,3.4026185144348906
71,2463,8,2.327994661077268
72,2451,9,2.1506701655417704
73,2481,5,2.3448123070785667
74,2445,7,1.5549145745202313
75,2443,9,2.4934227862079883
76,2462,5,3.137041537362488
77,2460,7,2.2408497580810245
78,692,8,2.1363856285312073
79,687,7,2.4646442206569232
80,756,9,1.5823124599044518
81,679,5,2.39912472806009
82,680,6,2.5317478481254305
83,691,8,2.2043528133659542
84,701,6,1.6941404943019962
85,676,8,4.303990084248564
86,675,6,3.6757386983295772
87,674,6,2.1449272117561606
88,712,7,1.62828390838733
89,677,8,2.188930513836388
90,714,6,1.3073412885248035
91,684,9,2.2868568597315533
92,678,9,1.9112443035514055
93,682,6,2.213915479048344
94,695,4,2.099288828138339
95,698,4,1.6117097034564252
96,683,2,1.1024629497070442
97,696,9,2.482703211529262
