,x,y,colors,team
0,10.20771,2.3284628,1,Arsenal
1,-3.7292254,3.4484658,1,Leicester City
2,10.480342,2.236663,1,Manchester City
3,-4.374566,5.2028346,1,Burnley
4,1.6779082,0.6871602,1,Chelsea
5,-8.61016,6.5019503,0,Huddersfield Town
6,-9.766899,5.514647,1,Everton
7,7.836813,-2.3465626,1,Manchester United
8,5.042476,-1.782222,1,Tottenham Hotspur
9,-4.3420362,4.3337107,0,Watford
10,8.558332,-0.8581797,1,Liverpool
11,-11.468433,4.4228015,0,West Bromwich Albion
12,-8.426489,6.289463,0,Stoke City
13,-6.5668015,2.5293047,0,West Ham United
14,3.9016953,-3.4126098,0,AFC Bournemouth
15,-12.290404,3.4652991,0,Swansea City
16,-4.628959,4.684209,1,Newcastle United
17,-6.7357383,1.7867178,0,Brighton & Hove Albion
18,-10.211055,5.0482564,0,Southampton
19,-3.5026288,3.0575113,0,Crystal Palace
20,-4.6297355,3.5018773,0,Celta de Vigo
21,7.7033315,-1.953431,0,Real Sociedad
22,-11.544899,5.521722,1,Girona
23,8.263397,-1.1577297,1,Atl\u00e9tico Madrid
24,3.2598627,-2.0751245,1,Sevilla
25,1.715671,-1.7791972,0,Espanyol
26,-7.2935205,3.0974257,1,Eibar
27,10.615559,1.8774596,1,Barcelona
28,9.953345,2.0811253,1,Real Madrid
29,5.5808253,-2.4657438,1,Valencia
30,-6.1276064,1.612289,0,Legan\u00e9s
31,5.350378,-3.7587428,0,Deportivo La Coru\u00f1a
32,-9.291714,0.78518474,0,Las Palmas
33,5.9955373,-3.8148162,1,Real Betis
34,-6.015754,2.88617,0,Athletic Club
35,5.4444957,-2.781686,1,Villarreal
36,-8.995687,6.210589,0,Levante
37,-8.37346,0.7725029,1,Getafe
38,-12.33432,3.663452,0,M\u00e1laga
39,2.011177,0.080743276,0,Deportivo Alav\u00e9s
40,-6.562069,1.230813,0,Angers
41,2.563633,-0.9674999,1,Bordeaux
42,6.3549385,-2.4001036,0,Lille
43,7.237886,-2.6013577,1,Olympique Lyonnais
44,8.205868,-1.7569833,1,Olympique Marseille
45,-9.094551,5.624808,0,Metz
46,-7.854829,1.1995826,0,Guingamp
47,-6.1424956,1.2904899,0,Toulouse
48,5.9166174,-2.1527755,1,Monaco
49,3.8535185,-2.3756375,1,Montpellier
50,10.693484,2.4915102,1,PSG
51,-10.360523,5.3132014,1,Saint-\u00c9tienne
52,-7.758815,2.7738285,0,Troyes
53,4.7871537,-4.029521,1,Rennes
54,1.3910307,-0.37745488,0,Dijon
55,-6.956186,3.355408,0,Strasbourg
56,-6.852273,2.9124627,0,Caen
57,1.1632899,0.69934875,1,Nice
58,-7.0769897,1.0919595,1,Nantes
59,-10.874016,5.0561,0,Amiens SC
60,10.160997,1.4159327,1,Bayern M\u00fcnchen
61,8.151376,-2.2501624,1,Bayer Leverkusen
62,1.5625377,0.95837563,1,Hoffenheim
63,2.57528,-2.4606948,0,Hertha BSC
64,5.1630807,-4.2758613,1,Borussia M'gladbach
65,-11.548978,5.066917,1,Schalke 04
66,-12.076851,4.300713,0,Hamburger SV
67,-3.7788115,5.39589,0,Hannover 96
68,6.71407,-3.0861,1,Borussia Dortmund
69,-10.797358,5.6678433,0,Freiburg
70,5.5517797,-1.9818151,1,RB Leipzig
71,-5.4176044,3.150545,0,K\u00f6ln
72,-4.1469173,5.0553317,0,Wolfsburg
73,-4.041842,5.6144986,0,Augsburg
74,-9.088381,1.1943549,1,Stuttgart
75,-8.937739,0.7744397,0,Werder Bremen
76,1.1023933,1.3293021,1,Eintracht Frankfurt
77,-4.061841,3.6217122,0,Mainz 05
78,-8.79445,1.4766787,0,Bologna
79,0.7475279,0.24764402,1,Torino
80,5.6258135,-4.16068,1,Milan
81,8.699308,-0.51411265,1,Napoli
82,2.3697133,-1.6105134,1,Internazionale
83,9.082508,-0.087335974,1,Juventus
84,-11.896124,3.712936,0,Benevento
85,2.0615318,-1.9694337,1,Sampdoria
86,-8.037967,0.74542826,0,Chievo
87,3.223934,-2.8107913,0,Udinese
88,8.735485,-0.5319896,1,Lazio
89,2.2556229,-0.20411451,1,Fiorentina
90,-8.190976,2.1574254,0,Cagliari
91,1.3918418,-0.013909151,1,Atalanta
92,3.0261161,-1.1155217,1,Roma
93,-12.664763,3.6432922,0,SPAL
94,-4.540704,4.236817,0,Sassuolo
95,-11.201029,5.41832,0,Hellas Verona
96,3.5965962,-2.8547418,0,Genoa
97,-5.048117,3.7155027,0,Crotone
